Name,RK,Active PPT,Term PPT,PPT,Assets,Asset (minus Loans),Total Investment,Revenue Share,Net Investments,Total Monthly RK,Annual RK,RK Sponsor Fee$,RK Sponsor fee%,RK PPT Fee$,RK PPT Fee%,PPT Service Fees,Trustee Custodial,Participant Advice,Advisor%,TPA%,Total PPT,Net Investments,Rev-Share,Total Investments,Total Advisor,Total TPA,Total RK,Total Cost,Total Cost %,Total Cost + Service,PDFLink,,,,,,,,,,Total Investment
MULHALL'S NURSERY,Fidelity,,,70,"$5,269,164.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1uY8Pudicko3wUJxPSwtGLuRmjJD026j0/view?usp=drive_link,,,,,,,,,,
CAN INSURANCE,Valic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1TKoI6GXeOsgO__onF6tZHRPSMXo6YDip/view?usp=drive_link,,,,,,,,,,
Rental One,Fidelity,,,69,"$2,901,954.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1naPe7Bks5wTn28Dv9eK16h_nSkBoKc4U/view?usp=drive_link,,,,,,,,,,
ATR AMERICAS,T.Row Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1cqWDIRe--wbnAfa9RfRdESietoexslIb/view?usp=drive_link,,,,,,,,,,
Stedman West Interests,ADP,,,,"$3,821,175.06","$3,821,175.06",0.90%,0.19%,0.71%,,,,,,,,,,,,,"$27,130.34","$7,260.23","$34,390.58",,,$0.00,"$34,390.58",,,https://drive.google.com/file/d/1PhAZhMcLOwaAQoftyWLh8lO_3BnQ52UF/view?usp=drive_link,,,,,,,,,,
The Vintage Club,Alerus Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/16C1AWaUOyWd7nJdJ10QFuiOQ6VbaEE6b/view?usp=drive_link,,,,,,,,,,
Long Fence & Home,ADP,,,110,"$2,955,739.59","$2,886,422.21",1.05%,0.24%,0.81%,245,2940,,,,,,,,,,,"$23,380.02","$6,927.41","$30,307.43",,,"$2,940.00","$33,247.43",,,https://drive.google.com/file/d/1FxLEhB_xBOts5yTPoH-eb4Oa-s8iu5fx/view?usp=drive_link,,,,,,,,,,
Serra Manufacturing Corporation,ADP,,,45,"$4,963,443.58","$4,772,028.90",1.01%,0.25%,0.76%,0,0,,,,,,,,,,,"$36,267.42","$11,930.07","$48,197.49",,,$0.00,"$48,197.49",,,https://drive.google.com/file/d/1gsrEbyAEzBWgqXZxig0SbU_EMmM5EJsI/view?usp=drive_link,,,,,,,,,,
MacFarlane Pheasants,ADP,,,73,"$3,001,472.69","$2,953,655.05",1.28%,0.50%,0.78%,337.3,,,,,,,,,,,,"$23,038.51","$14,768.28","$37,806.78",,,$0.00,"$37,806.78",,,https://drive.google.com/file/d/1nrsvdBMkpp0Q3-vKyWy9IjFHC0BGKlAT/view?usp=drive_link,,,,,,,,,,
Party Rental,ADP,,,837,"$9,723,812.02","$9,247,216.83",0.78%,0,0.78%,"$1,823.70","$21,884.40",,,,,,,,,,,"$72,128.29",$0.00,"$72,128.29",,,"$21,884.40","$94,012.69",,,https://drive.google.com/file/d/1xn4vniKiencC_grZk4F1YkG3h9RJNj2U/view?usp=drive_link,,,,,,,,,,
Remains Lighting,ADP,,,21,"$1,317,101.23","$1,234,300.57",1.56%,0.55%,1.01%,256,3072,,,,,,,,,,,"$12,466.44","$6,788.65","$19,255.09",,,"$3,072.00","$22,327.09",,,https://drive.google.com/file/d/175yQYebaWf3Kd4g1EElz5PR-wmkIl6Ky/view?usp=drive_link,,,,,,,,,,
R&Q Solutions 401k Plan,ADP,,,136,"$8,707,154.92","$8,550,820.27",0.97%,0,0.97%,$208.33,"$2,499.96",,,,,,,,,,,"$82,942.96",$0.00,"$82,942.96",,,"$2,499.96","$85,442.92",,,https://drive.google.com/file/d/1plr72r-YR1ePgAAEmwc3H1AJRCF_BFq5/view?usp=drive_link,,,,,,,,,,
Cerebras Systems,ADP,,,146,"$6,091,281.35","$6,004,692.16",0.14%,0,0.14%,"$1,992.00","$23,904.00",,,,,,,,,,,"$8,406.57",$0.00,"$8,406.57",,,"$23,904.00","$32,310.57",,,https://drive.google.com/file/d/1252RBkVF-3zAKYvj-hUDF0SjPigQlgPR/view?usp=drive_link,,,,,,,,,,
